"CÓD. 
DEP.",DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,"GRUPO 
DE CULTIVO","SUBGRUPO 
DE CULTIVO",CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,AÑO,PERIODO,"Área Sembrada
(ha)","Área Cosechada
(ha)","Producción
(t)","Rendimiento
(t/ha)",ESTADO FISICO PRODUCCION,"NOMBRE 
CIENTIFICO",CICLO DE CULTIVO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2017,2017B,15,12,48,4,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18205,CURILLO,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2017,2017B,4,2,3,1.8,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18205,CURILLO,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2018,2018A,6,6,11,1.8,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,HORTALIZAS,AJI,AJI,AJI,2016,2016A,0,0,1,2,HORTALIZA FRESCA,CAPSICUM ANNUM,TRANSITORIO
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,HORTALIZAS,AJI,AJI,AJI,2016,2016B,0,0,1,2,HORTALIZA FRESCA,CAPSICUM ANNUM,TRANSITORIO
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,HORTALIZAS,AJI,AJI,AJI,2017,2017A,0,0,1,2,HORTALIZA FRESCA,CAPSICUM ANNUM,TRANSITORIO
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,HORTALIZAS,AJI,AJI,AJI,2017,2017B,1,1,1,2,HORTALIZA FRESCA,CAPSICUM ANNUM,TRANSITORIO
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,HORTALIZAS,AJI,AJI,AJI,2018,2018A,3,3,6,2,HORTALIZA FRESCA,CAPSICUM ANNUM,TRANSITORIO
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,106,15,30,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18785,SOLITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,97,97,194,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,94,91,182,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18592,PUERTO RICO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,50,10,60,6,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,49,34,136,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18205,CURILLO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,34,30,60,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,30,15,60,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18247,EL DONCELLO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,24,20,50,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18001,FLORENCIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,22,20,40,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,22,20,70,3.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,10,10,36,3.6,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,5,5,18,3.6,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18256,EL PAUJIL,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,5,5,14,2.8,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,3,3,9,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18756,SOLANO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2008,2008,3,3,9,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,106,15,30,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18785,SOLITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,97,97,194,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,90,90,360,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,50,50,180,3.6,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,50,3,9,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18205,CURILLO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,50,40,80,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18592,PUERTO RICO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,50,10,60,6,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,39,34,136,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18001,FLORENCIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,30,28,84,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,25,15,60,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18247,EL DONCELLO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,16,13,31,2.38,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,10,10,40,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18256,EL PAUJIL,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,5,5,14,2.8,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,4,3,12,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18756,SOLANO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2009,2009,3,3,9,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,86,86,258,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,86,86,172,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,85,85,85,1,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,50,50,150,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,39,39,117,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18592,PUERTO RICO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,38,38,152,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18001,FLORENCIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,30,29,87,3,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,12,7,48,6.86,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,10,10,18,1.8,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18247,EL DONCELLO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,7,5,13,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2010,2010,3,1,4,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,96,96,258,2.69,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,85,85,85,1,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,53,53,106,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18592,PUERTO RICO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,25,25,100,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,15,15,15,1,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18247,EL DONCELLO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,8,5,13,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,7,7,48,6.86,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2011,2011,4,4,16,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,85,85,170,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,65,10,20,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,40,40,80,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18592,PUERTO RICO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,25,25,100,4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,10,10,10,1,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18247,EL DONCELLO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,7,7,18,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,5,5,13,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18001,FLORENCIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2012,2012,4,4,20,5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2013,2013,85,85,115,1.35,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2013,2013,65,10,35,3.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2013,2013,20,20,35,1.75,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2013,2013,10,8,20,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2013,2013,10,10,45,4.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2013,2013,7,7,45,6.4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2014,2014,93,19,27,1.4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2014,2014,55,10,100,10,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2014,2014,10,10,20,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2014,2014,7,7,45,6.4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2014,2014,5,5,3,0.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2014,2014,5,5,13,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2015,2015,120,40,56,1.4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2015,2015,45,10,100,10,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18410,MONTAÑITA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2015,2015,7,7,14,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2015,2015,7,7,45,6.4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2015,2015,6,6,15,2.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18001,FLORENCIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2015,2015,4,4,8,2,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2015,2015,1,1,1,0.5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2016,2016,105,90,576,6.4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2016,2016,34,10,100,10,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2016,2016,7,7,45,6.4,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2017,2017,93,93,465,5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2017,2017,30,30,300,10,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2017,2017,5,5,25,5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2018,2018,83,83,415,5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18860,VALPARAISO,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2018,2018,25,25,250,10,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,FRUTALES EXOTICOS,ARAZA,ARAZA,2018,2018,5,5,25,5,FRUTO FRESCO,EUGENIA STIPITATA,PERMANENTE
18,CAQUETA,18029,ALBANIA,CEREALES,ARROZ,ARROZ,ARROZ RIEGO,2006,2006B,20,20,105,5.25,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18029,ALBANIA,CEREALES,ARROZ,ARROZ,ARROZ RIEGO,2007,2007A,40,40,210,5.25,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18029,ALBANIA,CEREALES,ARROZ,ARROZ,ARROZ RIEGO,2007,2007B,45,37,219,5.92,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18029,ALBANIA,CEREALES,ARROZ,ARROZ,ARROZ RIEGO,2008,2008A,48,45,234,5.2,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18029,ALBANIA,CEREALES,ARROZ,ARROZ,ARROZ RIEGO,2008,2008B,52,48,250,5.2,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18410,MONTAÑITA,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2006,2006B,173,173,207,1.2,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2006,2006B,135,135,128,0.95,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18460,MILAN,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2006,2006B,20,20,24,1.2,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18205,CURILLO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2006,2006B,10,10,15,1.5,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18756,SOLANO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2006,2006B,5,5,5,1,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2007,2007A,350,350,536,1.53,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18410,MONTAÑITA,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2007,2007A,100,100,80,0.8,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18460,MILAN,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2007,2007A,80,80,96,1.2,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18756,SOLANO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2007,2007A,25,25,45,1.8,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18205,CURILLO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2007,2007A,20,20,29,1.45,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18410,MONTAÑITA,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2007,2007B,273,260,287,1.1,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
18,CAQUETA,18205,CURILLO,CEREALES,ARROZ,ARROZ,ARROZ SECANO MANUAL,2007,2007B,126,106,265,2.5,PADDY VERDE,ORYZA SATIVA,TRANSITORIO
